"Lat","Long_","County Name","State Name"
32.53952745,-86.64408227,"Autauga","Alabama"
30.72774991,-87.72207058,"Baldwin","Alabama"
31.868263,-85.3871286,"Barbour","Alabama"
32.99642064,-87.1251146,"Bibb","Alabama"
33.98210918,-86.56790593,"Blount","Alabama"
32.10030533,-85.71265535,"Bullock","Alabama"
31.75300095,-86.68057478,"Butler","Alabama"
33.77483727,-85.82630386,"Calhoun","Alabama"
32.91360079,-85.39072749,"Chambers","Alabama"
34.17805983,-85.60638968,"Cherokee","Alabama"
32.85044126,-86.7173256,"Chilton","Alabama"
32.02227341,-88.2656443,"Choctaw","Alabama"
31.68099859,-87.83548597,"Clarke","Alabama"
33.26984193,-85.85836077,"Clay","Alabama"
33.67679204,-85.52005899,"Cleburne","Alabama"
31.39932826,-85.98901039,"Coffee","Alabama"
34.69847452,-87.80168544,"Colbert","Alabama"
31.43401703,-86.99320044,"Conecuh","Alabama"
32.93690146,-86.24847739,"Coosa","Alabama"
31.2477854,-86.45050893,"Covington","Alabama"
31.72941803,-86.31593104,"Crenshaw","Alabama"
34.13020303,-86.86888037,"Cullman","Alabama"
31.43037123,-85.61095742,"Dale","Alabama"
32.32688101,-87.1086671,"Dallas","Alabama"
34.45946862,-85.80782906,"DeKalb","Alabama"
32.59785413,-86.14415284,"Elmore","Alabama"
31.1256789,-87.15918694,"Escambia","Alabama"
34.04567266,-86.04051873,"Etowah","Alabama"
33.72076938,-87.73886638,"Fayette","Alabama"
34.44235334,-87.84289505,"Franklin","Alabama"
31.09389027,-85.83572839,"Geneva","Alabama"
32.85504247,-87.95684022,"Greene","Alabama"
32.76039258,-87.63284988,"Hale","Alabama"
31.51148016,-85.24267944,"Henry","Alabama"
31.15197924,-85.29939599,"Houston","Alabama"
34.78144169,-85.99750489,"Jackson","Alabama"
33.55554728,-86.895063,"Jefferson","Alabama"
33.77995024,-88.09668032,"Lamar","Alabama"
34.90171875,-87.65624729,"Lauderdale","Alabama"
34.52041498,-87.31069453,"Lawrence","Alabama"
32.60154883,-85.35132246,"Lee","Alabama"
34.81185586,-86.98310072,"Limestone","Alabama"
32.1597283,-86.65158371,"Lowndes","Alabama"
32.38759944,-85.69267724,"Macon","Alabama"
34.76327133,-86.55069633,"Madison","Alabama"
32.24767634,-87.78796182,"Marengo","Alabama"
34.13697363,-87.88704173,"Marion","Alabama"
34.36975964,-86.30486727,"Marshall","Alabama"
30.78472347,-88.20842409,"Mobile","Alabama"
31.56729412,-87.36995001,"Monroe","Alabama"
32.2206831,-86.20969272,"Montgomery","Alabama"
34.45500589,-86.85475946,"Morgan","Alabama"
0,0,"Out of AL","Alabama"
32.64048341,-87.29770589,"Perry","Alabama"
33.28094866,-88.08818103,"Pickens","Alabama"
31.80396383,-85.9408295,"Pike","Alabama"
33.29526734,-85.45708831,"Randolph","Alabama"
32.28725256,-85.18415324,"Russell","Alabama"
33.26879845,-86.66232561,"Shelby","Alabama"
33.71902176,-86.31029372,"St. Clair","Alabama"
